client_file,depends_on,note
protocolcodes.cpp,game.cpp,"`Game::setProtocolVersion` wywołuje `buildMessageModesMap`, aby zaktualizować mapowania po zmianie wersji protokołu."
minimap.cpp,tile.h,Pobiera dane do aktualizacji minimapy z obiektów `Tile`.
minimap.cpp,game.h,"Używa `g_game` do sprawdzania funkcji, np. `GameDontCacheFiles`."
minimap.cpp,framework/graphics/...,"Używa klas `Image`, `Texture`, `Painter` do operacji graficznych."
minimap.cpp,framework/core/resourcemanager.h,Do operacji na plikach.
minimap.cpp,zlib.h,Do kompresji/dekompresji danych w formacie `.otmm`.
position.h,const.h,Definicje `Otc::Direction` i `Otc::MAX_Z`.
protocolcodes.h,global.h,Podstawowe definicje.
protocolgame.cpp,game.h,"Ściśle współpracuje z `g_game`, informując go o stanie połączenia i przekazując przetworzone dane."
protocolgame.cpp,framework/net/protocol.h,Dziedziczy z `Protocol` i wykorzystuje jego mechanizmy do obsługi połączenia TCP.
protocolgame.h,declarations.h,"Definicje typów (`Position`, `CreaturePtr`, etc.)."
protocolgame.h,protocolcodes.h,Używa kodów operacyjnych zdefiniowanych w tym pliku.
protocolgame.h,framework/net/protocol.h,Klasa bazowa.
spritemanager.cpp,game.h,"Używa `g_game` do sprawdzania `GameFeature`, które wpływają na format pliku `.spr`."
spritemanager.cpp,framework/core/resourcemanager.h,Do operacji na plikach.
spritemanager.cpp,framework/graphics/image.h,Zwraca obiekty `ImagePtr`.
spritemanager.cpp,framework/util/crypt.h,Do deszyfrowania formatu OTV8.
spritemanager.cpp,framework/util/pngunpacker.h,Do rozpakowywania plików `.cwm`.
protocolgamesend.cpp,game.h,"Używa `g_game` do sprawdzania funkcji serwera (`GameFeature`), które determinują format wysyłanych pakietów."
protocolgamesend.cpp,localplayer.h,Używa pozycji lokalnego gracza w niektórych pakietach (np. `sendTalk`).
protocolgamesend.cpp,framework/util/crypt.h,Używa `g_crypt` do szyfrowania RSA.
protocolgamesend.cpp,framework/platform/platform.h,Pobiera informacje o systemie do wysłania w pakiecie logowania.
localplayer.h,player.h,Klasa bazowa.
localplayer.h,walkmatrix.h,Używa `WalkMatrix` do śledzenia predykcji ruchu.
towns.cpp,mapio.cpp,Menedżer `g_towns` jest wypełniany danymi podczas wczytywania mapy w formacie OTBM.
spritemanager.h,framework/core/declarations.h,Podstawowe deklaracje.
spritemanager.h,framework/graphics/declarations.h,Deklaracje typów graficznych.
tile.cpp,map.h,Używa `g_map` do pobierania sąsiednich pól (np. przy korekcji zwłok).
tile.cpp,game.h,Dostęp do `g_game` w celu sprawdzania `GameFeature`.
tile.cpp,lightview.h,"Przekazuje `LightView` do metod rysujących obiekty, aby mogły dodać swoje światło."
statictext.h,thing.h,Klasa bazowa.
statictext.h,framework/graphics/cachedtext.h,Używa `CachedText` do efektywnego renderowania tekstu.
statictext.h,framework/core/timer.h,Używane do zarządzania czasem życia wiadomości.
uimapanchorlayout.cpp,uiminimap.h,"`UIPositionAnchor` rzutuje widżet-rodzica na `UIMinimap`, aby uzyskać dostęp do metody `getTileRect`."
uimapanchorlayout.cpp,framework/ui/uiwidget.h,Współpracuje z widżetami.
uimapanchorlayout.cpp,framework/ui/uianchorlayout.h,Rozszerza standardowy layout kotwic.
thing.h,declarations.h,"Definicje typów, np. `TilePtr`."
thing.h,thingtype.h,Każdy `Thing` ma swój `ThingType`.
thing.h,framework/luaengine/luaobject.h,Klasa bazowa.
uiitem.h,declarations.h,Definicje typów.
uiitem.h,framework/ui/uiwidget.h,Klasa bazowa.
uiitem.h,item.h,Przechowuje i rysuje obiekt `Item`.
thing.cpp,map.h,Do pobierania `Tile`.
thing.cpp,game.h,Do pobierania kontenerów.
uimap.cpp,mapview.h,"`UIMap` jest ""opakowaniem"" dla `MapView`, przekazując mu zadania renderowania."
uimap.cpp,framework/otml/otml.h,"Parsuje właściwości z plików OTML, takie jak `multifloor` czy `animated`."
statictext.cpp,map.h,Używa `g_map` do usunięcia obiektu po zakończeniu.
statictext.cpp,framework/core/eventdispatcher.h,Używa `g_dispatcher` do planowania aktualizacji.
statictext.cpp,framework/graphics/fontmanager.h,Używa `g_fonts` do zarządzania czcionkami.
uiitem.cpp,spritemanager.h,Używany przez `Item` do pobierania sprite'ów.
uiitem.cpp,game.h,"Sprawdza `GameFeature`, np. `GameCountU16`."
uiitem.cpp,framework/otml/otml.h,Do parsowania stylów.
uiitem.cpp,framework/graphics/graphics.h,Do operacji rysowania.
thingstype.h,thingtype.h,Zarządza obiektami `ThingType`.
thingstype.h,framework/core/declarations.h,Podstawowe deklaracje.
uigraph.h,framework/ui/uiwidget.h,Klasa bazowa.
uicreature.h,declarations.h,Definicje typów.
uicreature.h,framework/ui/uiwidget.h,Klasa bazowa.
uicreature.h,creature.h,Przechowuje i rysuje obiekt `Creature`.
thingtype.cpp,spritemanager.h,Używa `g_sprites` do pobierania obrazów pojedynczych sprite'ów.
thingtype.cpp,game.h,"Sprawdza `GameFeature`, co wpływa na logikę deserializacji i animacji."
thingtype.cpp,lightview.h,"Przekazuje `LightView` do dodawania światła, jeśli obiekt je emituje."
thingtype.cpp,framework/graphics/...,"Intensywnie korzysta z klas `Texture`, `Image`, `Painter` i `DrawQueue`."
towns.h,declarations.h,"Definicje typów, np. `TownPtr`, `Position`."
thingtype.h,animator.h,Może posiadać `Animator` do zarządzania animacjami.
thingtype.h,framework/graphics/...,"Używa `Texture`, `DrawQueue` do renderowania."
thingtype.h,framework/luaengine/luaobject.h,Klasa bazowa.
uicreature.cpp,spritemanager.h,Używane przez `Creature::drawOutfit`.
uicreature.cpp,framework/otml/otml.h,Do parsowania stylów.
uicreature.cpp,framework/graphics/drawqueue.h,Do dodawania operacji rysowania.
uigraph.cpp,framework/graphics/drawqueue.h,Do rysowania linii i tekstu.
uigraph.cpp,framework/otml/otml.h,Do parsowania stylów.
uimap.h,mapview.h,Używa `MapView` do renderowania.
uimap.h,tile.h,Metoda `getTile` zwraca obiekt `Tile`.
uimap.h,framework/ui/uiwidget.h,Klasa bazowa.
uiminimap.cpp,minimap.h,Używa `g_minimap` do renderowania danych.
uiminimap.cpp,uimapanchorlayout.h,Posiada `UIMapAnchorLayout` do zarządzania przypiętymi widżetami.
uiminimap.cpp,game.h,Dostęp do globalnych obiektów.
uiprogressrect.cpp,framework/otml/otml.h,Do parsowania stylów.
uiprogressrect.cpp,framework/graphics/graphics.h,Do operacji rysowania.
uimapanchorlayout.h,framework/ui/uianchorlayout.h,Klasa bazowa.
uimapanchorlayout.h,uiminimap.h,Layout jest przeznaczony do użycia z `UIMinimap`.
uiminimap.h,declarations.h,Definicje typów.
uiminimap.h,framework/ui/uiwidget.h,Klasa bazowa.
uiprogressrect.h,declarations.h,Definicje typów.
uiprogressrect.h,framework/ui/uiwidget.h,Klasa bazowa.
uisprite.cpp,spritemanager.h,Używa `g_sprites` do pobierania obrazów sprite'ów.
uisprite.cpp,framework/otml/otml.h,Do parsowania stylów.
uisprite.cpp,framework/graphics/graphics.h,Do operacji rysowania i zarządzania teksturami.
uisprite.h,declarations.h,Definicje typów.
uisprite.h,framework/ui/uiwidget.h,Klasa bazowa.
walkmatrix.h,position.h,Używa `Position` do operacji na współrzędnych.
walkmatrix.h,localplayer.cpp,Obiekt `WalkMatrix` jest polem klasy `LocalPlayer` i jest używany w logice pre-walkingu.
protocolgameparse.cpp,thingtypemanager.h,Używa `g_things` do weryfikacji ID przedmiotów i efektów.
protocolgameparse.cpp,luavaluecasts_client.h,Używane do przekazywania złożonych obiektów do Lua.
protocolgameparse.cpp,protocolcodes.h,Używa zdefiniowanych tam kodów operacyjnych.
protocolgameparse.cpp,Core,"Zarządzanie aplikacją, pętlą główną, zdarzeniami (`EventDispatcher`), zasobami (`ResourceManager`), czasem (`Clock`)."
protocolgameparse.cpp,Graphics,"Nisko-poziomowe renderowanie, zarządzanie teksturami (`TextureManager`), shaderami (`ShaderManager`), czcionkami (`FontManager`) i kolejką rysowania (`DrawQueue`)."
protocolgameparse.cpp,UI,System interfejsu użytkownika oparty na widżetach (`UIWidget`) i stylach OTML.
protocolgameparse.cpp,LuaEngine,"Integracja z silnikiem skryptowym Lua, umożliwiająca rozszerzanie logiki gry."
protocolgameparse.cpp,Net,"Nisko-poziomowa obsługa połączeń sieciowych (`Protocol`, `Connection`)."
