file,summary
config.h,"Plik `config.h` deklaruje klasę `Config`, która jest obiektowym interfejsem do odczytu, zapisu i manipulacji danymi w plikach konfiguracyjnych formatu OTML. Klasa ta dziedziczy po `LuaObject`, co oznacza, że jej instancje mogą być tworzone i używane w skryptach Lua."
clock.cpp,"Plik `clock.cpp` zawiera implementację metod klasy `Clock`. Odpowiada za dostarczanie mechanizmów pomiaru czasu, które są kluczowe dla pętli głównej aplikacji, planowania zdarzeń i animacji."
consoleapplication.h,"Plik `consoleapplication.h` deklaruje klasę `ConsoleApplication`, która jest konkretną implementacją klasy `Application` dla aplikacji działającej w trybie konsolowym, bez interfejsu graficznego. Jest używana, gdy flaga `FW_GRAPHICS` nie jest zdefiniowana podczas kompilacji."
declarations.h,"Plik `declarations.h` w module `core` jest plikiem nagłówkowym służącym do wczesnych deklaracji (forward declarations) klas i definicji typów wskaźników (`typedef`) dla rdzennych komponentów frameworka. Jego celem jest rozwiązanie problemu zależności cyklicznych między plikami nagłówkowymi oraz zmniejszenie ilości dołączanych nagłówków w plikach, które potrzebują jedynie znać istnienie danego typu, a nie jego pełną definicję."
event.cpp,"Plik `event.cpp` zawiera implementację klasy `Event`, która jest podstawowym obiektem reprezentującym jednorazowe, opóźnione lub cykliczne zdarzenie w systemie."
event.h,"Plik `event.h` deklaruje klasę `Event`, która jest podstawową klasą do obsługi zdarzeń w systemie opartym na kolejce zdarzeń. Reprezentuje pojedyncze zadanie, które ma zostać wykonane w przyszłości przez `EventDispatcher`."
eventdispatcher.cpp,"Plik `eventdispatcher.cpp` zawiera implementację klasy `EventDispatcher`, która jest sercem systemu zdarzeń. Odpowiada za zarządzanie kolejką zdarzeń natychmiastowych oraz kolejką priorytetową zdarzeń zaplanowanych w czasie."
eventdispatcher.h,Plik `eventdispatcher.h` deklaruje interfejs klasy `EventDispatcher` oraz powiązane z nią globalne instancje i makra. Definiuje on publiczne API do zarządzania kolejką zdarzeń w aplikacji.
filestream.cpp,"Plik `filestream.cpp` zawiera implementację klasy `FileStream`, która jest opakowaniem (wrapperem) na operacje plikowe, głównie z wykorzystaniem biblioteki **PhysFS**. Umożliwia zarówno odczyt z plików na dysku, jak i z danych w pamięci (np. z wbudowanego archiwum lub zdekompresowanych danych)."
filestream.h,"Plik `filestream.h` deklaruje klasę `FileStream`, która jest kluczowym elementem systemu zarządzania zasobami. Stanowi ona abstrakcję nad strumieniem danych, który może pochodzić z pliku na dysku (obsługiwanego przez PhysFS) lub bezpośrednio z bufora w pamięci. Klasa dziedziczy po `LuaObject`, dzięki czemu może być używana w skryptach Lua."
graphicalapplication.cpp,"Plik `graphicalapplication.cpp` zawiera implementację klasy `GraphicalApplication`, która jest konkretną implementacją `Application` dla aplikacji z interfejsem graficznym. Odpowiada za inicjalizację, zarządzanie i zamykanie wszystkich podsystemów graficznych, a także za implementację głównej pętli renderowania i logiki."
inputevent.h,"Plik `inputevent.h` deklaruje strukturę `InputEvent`, która jest używana do przekazywania informacji o zdarzeniach wejściowych (z klawiatury i myszy) w systemie. Jest to prosta struktura danych, która agreguje wszystkie możliwe parametry zdarzenia."
graphicalapplication.h,"Plik `graphicalapplication.h` deklaruje klasę `GraphicalApplication`, która jest implementacją `Application` dla aplikacji z interfejsem graficznym. Jest to główna klasa zarządzająca pętlą renderowania, zdarzeniami wejściowymi i komponentami graficznymi."
logger.h,"Plik `logger.h` deklaruje klasę `Logger`, która implementuje system logowania dla całej aplikacji. Jest to singleton (`g_logger`) zapewniający scentralizowany i bezpieczny wątkowo mechanizm do zapisywania komunikatów o różnym poziomie ważności (debug, info, warning, error, fatal)."
module.cpp,"Plik `module.cpp` zawiera implementację klasy `Module`, która reprezentuje pojedynczy, ładowalny moduł funkcjonalności w aplikacji. Moduły są podstawą architektury wtyczek, pozwalając na dynamiczne ładowanie, odładowywanie i ponowne ładowanie kodu (głównie skryptów Lua) w trakcie działania programu."
modulemanager.cpp,"Plik `modulemanager.cpp` zawiera implementację klasy `ModuleManager`, która jest singletonem (`g_modules`) odpowiedzialnym za zarządzanie wszystkimi modułami w aplikacji. Odpowiada za ich odkrywanie, ładowanie, odładowywanie i ponowne ładowanie, a także za zarządzanie zależnościami między nimi."
logger.cpp,"Plik `logger.cpp` zawiera implementację klasy `Logger`, która jest odpowiedzialna za system logowania w aplikacji. Zapewnia mechanizmy do zapisywania komunikatów o różnym poziomie ważności do konsoli, pliku oraz przekazywania ich do zarejestrowanych funkcji zwrotnych (callbacków)."
module.h,"Plik `module.h` deklaruje klasę `Module`, która jest podstawowym elementem systemu modularności aplikacji. Każdy moduł reprezentuje logicznie oddzieloną część funkcjonalności (np. interfejs, mini-mapa, bot), która może być dynamicznie ładowana i odładowywana."
modulemanager.h,"Plik `modulemanager.h` deklaruje klasę `ModuleManager`, która jest singletonem (`g_modules`) odpowiedzialnym za zarządzanie cyklem życia wszystkich modułów w aplikacji."
scheduledevent.cpp,"Plik `scheduledevent.cpp` zawiera implementację klasy `ScheduledEvent`, która reprezentuje zdarzenie zaplanowane do wykonania w przyszłości."
resourcemanager.cpp,"Plik `resourcemanager.cpp` zawiera implementację klasy `ResourceManager`, która jest sercem systemu zarządzania zasobami aplikacji. Implementuje ona logikę wyszukiwania, ładowania, odczytu i zapisu plików, abstrakcjonując źródło danych (dysk, archiwum, pamięć)."
scheduledevent.h,"Plik `scheduledevent.h` deklaruje klasę `ScheduledEvent`, która rozszerza funkcjonalność `Event`, dodając możliwość planowania wykonania w czasie, cykliczności oraz obsługi opóźnień."
timer.cpp,"Plik `timer.cpp` zawiera implementację prostych metod klasy `Timer`, która służy do mierzenia upływu czasu."
timer.h,"Plik `timer.h` deklaruje klasę `Timer`, która jest prostym, ale użytecznym narzędziem do mierzenia upływającego czasu. Jest to klasa pomocnicza, szeroko stosowana w całym frameworku do obsługi opóźnień, animacji i synchronizacji."
consoleapplication.cpp,"Plik `consoleapplication.cpp` zawiera implementację klasy `ConsoleApplication`, która jest wersją aplikacji przeznaczoną do działania w trybie tekstowym, bez interfejsu graficznego. Jest ona używana, gdy projekt jest kompilowany bez flagi `FW_GRAPHICS`."
shaderprogram.h,"Plik `shaderprogram.h` deklaruje klasę `ShaderProgram`, która jest obiektowym opakowaniem na program shadera w OpenGL. Zarządza ona kompilacją, linkowaniem i aktywacją shaderów wierzchołków i fragmentów."
animatedtexture.cpp,"Plik `animatedtexture.cpp` zawiera implementację klasy `AnimatedTexture`, która reprezentuje teksturę składającą się z wielu klatek, odtwarzanych w pętli. Jest to podklasa `Texture`."
animatedtexture.h,"Plik `animatedtexture.h` deklaruje klasę `AnimatedTexture`, która jest specjalizacją klasy `Texture`. Reprezentuje ona teksturę, która zmienia swój wygląd w czasie, odtwarzając sekwencję klatek."
apngloader.cpp,Plik `apngloader.cpp` zawiera implementację funkcji do ładowania animowanych plików PNG (APNG) oraz do zapisu standardowych plików PNG. Kod jest oparty na bibliotece APNG Disassembler 2.3 autorstwa Maxa Stepina i został dostosowany do potrzeb frameworka.
apngloader.h,"Plik `apngloader.h` jest plikiem nagłówkowym, który deklaruje struktury danych i funkcje do obsługi plików w formacie APNG (Animated PNG). Definiuje on publiczny interfejs do ładowania, zapisywania i zwalniania danych obrazu."
atlas.cpp,"Plik `atlas.cpp` implementuje klasę `Atlas`, która zarządza tzw. ""atlasem tekstur"". Jest to technika optymalizacyjna, polegająca na łączeniu wielu małych tekstur w jedną dużą teksturę, aby zminimalizować liczbę zmian stanu w potoku renderowania grafiki (zmiana tekstury jest kosztowną operacją)."
bitmapfont.cpp,"Plik `bitmapfont.cpp` zawiera implementację klasy `BitmapFont`, która zarządza fontami opartymi na bitmapach (obrazach). Taki font składa się z pojedynczej tekstury zawierającej wszystkie glify (znaki) ułożone w siatce."
atlas.h,"Plik `atlas.h` deklaruje interfejs klasy `Atlas`, która implementuje mechanizm atlasu tekstur. Celem atlasu jest optymalizacja renderowania poprzez grupowanie wielu małych tekstur w jedną dużą teksturę, co redukuje liczbę wywołań `glBindTexture` w OpenGL."
bitmapfont.h,"Plik `bitmapfont.h` deklaruje klasę `BitmapFont`, która reprezentuje font oparty na bitmapie. Jest to kluczowy element systemu renderowania tekstu w aplikacji."
cachedtext.cpp,"Plik `cachedtext.cpp` zawiera implementację klasy `CachedText`, która służy do optymalizacji renderowania tekstu, który nie zmienia się często."
colorarray.h,"Plik `colorarray.h` deklaruje klasę `ColorArray`, która jest prostym kontenerem na tablicę kolorów w formacie `float`. Jest używana do przekazywania kolorów dla poszczególnych wierzchołków do systemu renderującego."
cachedtext.h,"Plik `cachedtext.h` deklaruje klasę `CachedText`, która jest opakowaniem (wrapperem) ułatwiającym zarządzanie i renderowanie tekstu, który może być keszowany."
coordsbuffer.h,"Plik `coordsbuffer.h` deklaruje klasę `CoordsBuffer`, która jest specjalizowanym kontenerem do przechowywania współrzędnych wierzchołków (`vertex`) i tekstur (`texture coord`). Jest to kluczowy element optymalizacyjny, pozwalający na grupowanie geometrii wielu obiektów i rysowanie ich w jednym wywołaniu (batching)."
deptharray.h,"Plik `deptharray.h` deklaruje klasę `DepthArray`, która jest prostym kontenerem na tablicę wartości głębokości (depth) w formacie `float`. Jest to prawdopodobnie część eksperymentalnego lub nie w pełni zaimplementowanego mechanizmu renderowania 3D lub sortowania głębokości."
declarations.h,Plik `declarations.h` w module `graphics` służy jako centralny punkt dla wczesnych deklaracji (forward declarations) i definicji typów (`typedef`) związanych z systemem graficznym. Jego głównym celem jest unikanie zależności cyklicznych między plikami nagłówkowymi i minimalizowanie liczby dołączanych plików.
coordsbuffer.cpp,"Plik `coordsbuffer.cpp` zawiera implementację metod klasy `CoordsBuffer`, która jest buforem na dane geometryczne do renderowania."
drawcache.cpp,"Plik `drawcache.cpp` implementuje klasę `DrawCache`, która jest kluczowym elementem systemu optymalizacji renderowania. Jej zadaniem jest grupowanie (batching) operacji rysowania, które używają tej samej tekstury (atlasu), aby zminimalizować liczbę wywołań rysujących (draw calls) do OpenGL."
drawcache.h,"Plik `drawcache.h` deklaruje klasę `DrawCache`, która służy jako bufor dla operacji rysowania. Jest to mechanizm optymalizacyjny, który agreguje wiele małych operacji rysowania (np. prostokątów) w jedno duże wywołanie, co znacząco poprawia wydajność renderowania."
drawqueue.cpp,"Plik `drawqueue.cpp` implementuje logikę dla `DrawQueue` oraz poszczególnych typów zadań rysowania (`DrawQueueItem`). Jest to centralny element systemu renderowania, który kolekcjonuje wszystkie operacje rysowania w jednej klatce, a następnie wykonuje je w odpowiedniej kolejności, z uwzględnieniem warunków takich jak przycinanie, przezroczystość czy rotacja."
fontmanager.cpp,"Plik `fontmanager.cpp` zawiera implementację klasy `FontManager`, która jest singletonem (`g_fonts`) odpowiedzialnym za zarządzanie wszystkimi fontami bitmapowymi w aplikacji."
drawqueue.h,"Plik `drawqueue.h` deklaruje hierarchię klas `DrawQueueItem` oraz klasę `DrawQueue`, które razem tworzą system kolejkowania operacji rysowania. Jest to centralny mechanizm, który pozwala na zbieranie wszystkich poleceń rysowania w jednej klatce, a następnie ich zoptymalizowane wykonanie."
framebuffer.cpp,"Plik `framebuffer.cpp` zawiera implementację klasy `FrameBuffer`, która jest opakowaniem (wrapperem) na obiekt bufora ramki (FBO) w OpenGL. Umożliwia renderowanie sceny do tekstury zamiast bezpośrednio na ekran (tzw. off-screen rendering), co jest kluczowe dla efektów post-processingu, skalowania interfejsu i implementacji atlasu tekstur."
framebuffer.h,"Plik `framebuffer.h` deklaruje klasę `FrameBuffer`, która jest obiektowym interfejsem do zarządzania buforami ramki (FBO) w OpenGL. Pozwala na renderowanie sceny do tekstury zamiast bezpośrednio na ekran."
framebuffermanager.cpp,"Plik `framebuffermanager.cpp` zawiera implementację klasy `FrameBufferManager`, która jest singletonem (`g_framebuffers`) odpowiedzialnym za tworzenie i zarządzanie obiektami `FrameBuffer`."
graph.cpp,"Plik `graph.cpp` implementuje klasę `Graph`, która służy do wizualizacji danych w czasie rzeczywistym w formie prostego wykresu liniowego. Jest to narzędzie głównie do celów debugowania i profilowania wydajności."
graph.h,"Plik `graph.h` deklaruje klasę `Graph` oraz powiązane z nią typy wyliczeniowe. Jest to narzędzie do wizualizacji danych w czasie rzeczywistym, przeznaczone do debugowania i profilowania."
glutil.h,"Plik `glutil.h` (GL Utility) jest plikiem nagłówkowym, którego jedynym zadaniem jest włączenie odpowiednich nagłówków OpenGL, OpenGL ES, EGL lub GLEW, w zależności od platformy i opcji kompilacji. Działa jako centralny punkt dołączania bibliotek graficznych, co upraszcza zarządzanie zależnościami w innych plikach."
graphics.cpp,"Plik `graphics.cpp` zawiera implementację klasy `Graphics`, która jest singletonem (`g_graphics`) odpowiedzialnym za inicjalizację i zarządzanie globalnym stanem silnika graficznego opartego na OpenGL."
graphics.h,"Plik `graphics.h` deklaruje interfejs klasy `Graphics`, która jest singletonem (`g_graphics`) zarządzającym globalnym stanem i inicjalizacją silnika graficznego."
image.cpp,"Plik `image.cpp` zawiera implementację klasy `Image`, która reprezentuje obraz rastrowy w pamięci RAM. Jest to podstawowa klasa do ładowania, manipulowania i zapisywania danych obrazów, zanim zostaną one przesłane do pamięci karty graficznej jako tekstury."
hardwarebuffer.h,"Plik `hardwarebuffer.h` deklaruje klasę `HardwareBuffer`, która jest opakowaniem na sprzętowe bufory wierzchołków (Vertex Buffer Objects - VBO) w OpenGL. Umożliwia przechowywanie danych geometrycznych (np. współrzędnych wierzchołków) w pamięci karty graficznej w celu uzyskania wysokiej wydajności renderowania."
image.h,"Plik `image.h` deklaruje klasę `Image`, która reprezentuje obraz rastrowy przechowywany w pamięci systemowej (RAM). Jest to podstawowa struktura danych do manipulacji pikselami przed ich wysłaniem do karty graficznej jako tekstura."
framebuffermanager.h,"Plik `framebuffermanager.h` deklaruje klasę `FrameBufferManager`, która jest singletonem (`g_framebuffers`) służącym do zarządzania i tworzenia obiektów `FrameBuffer`."
painter.h,"Plik `painter.h` deklaruje klasę `Painter`, która jest centralnym interfejsem do wszystkich operacji rysowania w 2D. Abstrakcjonuje ona niskopoziomowe wywołania OpenGL, dostarczając prostsze API do rysowania prostokątów, tekstur, linii i zarządzania stanem renderowania."
painter.cpp,"Plik `painter.cpp` zawiera implementację klasy `Painter`, która jest sercem silnika renderującego. Odpowiada za bezpośrednią komunikację z API graficznym (OpenGL) w celu rysowania prymitywów 2D."
hardwarebuffer.cpp,"Plik `hardwarebuffer.cpp` zawiera implementację klasy `HardwareBuffer`, która jest opakowaniem na bufory VBO (Vertex Buffer Object) w OpenGL."
paintershaderprogram.cpp,"Plik `paintershaderprogram.cpp` zawiera implementację klasy `PainterShaderProgram`, która jest specjalizacją `ShaderProgram`. Jest ona dostosowana do współpracy z klasą `Painter`, udostępniając standardowy zestaw uniformów i atrybutów używanych w procesie renderowania 2D."
paintershaderprogram.h,"Plik `paintershaderprogram.h` deklaruje klasę `PainterShaderProgram`, która jest wyspecjalizowaną wersją `ShaderProgram`, dostosowaną do potrzeb `Painter`. Definiuje ona standardowy zestaw uniformów i atrybutów używanych w shaderach 2D."
shader.cpp,"Plik `shader.cpp` zawiera implementację klasy `Shader`, która jest opakowaniem na pojedynczy obiekt shadera w OpenGL (np. shader wierzchołków lub shader fragmentów)."
shadermanager.h,"Plik `shadermanager.h` deklaruje klasę `ShaderManager`, która jest singletonem (`g_shaders`) odpowiedzialnym za zarządzanie niestandardowymi programami shaderów tworzonymi w skryptach Lua."
shadermanager.cpp,"Plik `shadermanager.cpp` zawiera implementację klasy `ShaderManager`, która zarządza niestandardowymi programami shaderów."
shader.h,"Plik `shader.h` deklaruje klasę `Shader`, która reprezentuje pojedynczy, skompilowany obiekt shadera w OpenGL (np. shader wierzchołków lub fragmentów), ale jeszcze nie zlinkowany w pełny program."
textrender.cpp,"Plik `textrender.cpp` implementuje klasę `TextRender`, która jest systemem do optymalizacji renderowania tekstu. Działa jako globalny cache dla geometrii tekstu, aby uniknąć ponownego obliczania pozycji glifów w każdej klatce dla tekstów, które się nie zmieniają."
shaderprogram.cpp,"Plik `shaderprogram.cpp` zawiera implementację klasy `ShaderProgram`, która jest podstawowym obiektem do zarządzania programami shaderów w OpenGL."
texture.cpp,"Plik `texture.cpp` zawiera implementację klasy `Texture`, która jest obiektowym opakowaniem na teksturę w OpenGL. Odpowiada za tworzenie, ładowanie danych, ustawianie parametrów i zwalnianie zasobów tekstury w pamięci karty graficznej."
texture.h,"Plik `texture.h` deklaruje klasę `Texture`, która jest obiektowym interfejsem do zarządzania teksturami w OpenGL."
texturemanager.cpp,"Plik `texturemanager.cpp` zawiera implementację klasy `TextureManager`, która jest singletonem (`g_textures`) odpowiedzialnym za zarządzanie teksturami w aplikacji. Działa jako cache, aby zapobiec wielokrotnemu ładowaniu tych samych tekstur z dysku."
vertexarray.h,"Plik `vertexarray.h` deklaruje klasę `VertexArray`, która jest prostym, dynamicznym buforem na współrzędne wierzchołków (`float`). Służy do gromadzenia geometrii przed wysłaniem jej do renderowania."
texturemanager.h,"Plik `texturemanager.h` deklaruje klasę `TextureManager`, która jest singletonem (`g_textures`) odpowiedzialnym za zarządzanie (ładowanie, cachowanie, zwalnianie) teksturami w aplikacji."
textrender.h,"Plik `textrender.h` deklaruje klasę `TextRender`, która jest systemem do optymalizacji renderowania tekstu. Działa jako globalny cache dla geometrii tekstu."
outfits.h,"Plik `outfits.h` zawiera kod źródłowy shaderów w postaci stałych stringów, które są używane do renderowania strojów postaci z niestandardowymi kolorami."
newshader.h,"Plik `newshader.h` zawiera kod źródłowy dla nowego, zoptymalizowanego systemu renderowania opartego na `DrawCache`. Definiuje shadery wierzchołków i fragmentów do rysowania geometrii wsadowej, tekstu i linii."
shaders.h,"Plik `shaders.h` jest plikiem nagłówkowym, który agreguje wszystkie pliki zawierające kod źródłowy shaderów. Służy jako pojedynczy punkt dołączania dla wszystkich predefiniowanych shaderów w systemie."
shadersources.h,Plik `shadersources.h` zawiera kod źródłowy w GLSL dla standardowych shaderów używanych przez klasę `Painter`. Są one zdefiniowane jako stałe stringi i kompilowane w trakcie działania programu.
http.cpp,"Plik `http.cpp` implementuje klasę `Http`, która jest singletonem (`g_http`) odpowiedzialnym za obsługę zapytań HTTP/HTTPS oraz połączeń WebSocket. Działa asynchronicznie, wykorzystując bibliotekę Boost.Asio do operacji sieciowych w osobnym wątku."
websocket.h,"Plik `websocket.h` deklaruje klasę `WebsocketSession`, która zarządza pojedynczym połączeniem WebSocket. Plik ten (i jego implementacja) jest wyłączony z kompilacji dla Emscripten."
http.h,"Plik `http.h` deklaruje klasę `Http`, która jest singletonem (`g_http`) i stanowi główny interfejs do wykonywania operacji sieciowych opartych na protokołach HTTP/HTTPS i WebSocket."
result.h,"Plik `result.h` deklaruje strukturę `HttpResult`, która służy do przechowywania stanu i wyniku pojedynczej operacji HTTP lub WebSocket. Definiuje również aliasy typów dla inteligentnych wskaźników i funkcji zwrotnych."
session.cpp,"Plik `session.cpp` zawiera implementację klasy `HttpSession`, która zarządza pojedynczą sesją HTTP/HTTPS. Jest on wyłączony z kompilacji dla platformy Emscripten."
session.h,"Plik `session.h` deklaruje klasę `HttpSession`, która enkapsuluje logikę pojedynczej sesji HTTP/HTTPS. Plik ten jest wyłączony z kompilacji dla Emscripten."
websocket.cpp,"Plik `websocket.cpp` zawiera implementację klasy `WebsocketSession`, która zarządza pojedynczym połączeniem WebSocket. Plik ten jest wyłączony z kompilacji dla Emscripten."
mouse.cpp,"Plik `mouse.cpp` implementuje klasę `Mouse`, która jest singletonem (`g_mouse`) odpowiedzialnym za zarządzanie kursorami myszy."
mouse.h,"Plik `mouse.h` deklaruje klasę `Mouse`, która jest interfejsem wysokiego poziomu do zarządzania kursorami myszy w aplikacji."
declarations.h,Plik `declarations.h` w module `luaengine` służy do wczesnych deklaracji (forward declarations) i definicji typów związanych z silnikiem Lua. Jego celem jest unikanie zależności cyklicznych i zmniejszenie liczby dołączanych nagłówków.
lbitlib.cpp,"Plik `lbitlib.cpp` zawiera kod źródłowy biblioteki `bit32` z Lua 5.2.0, przeniesiony (backported) do użytku z Lua 5.1.4 (lub LuaJIT, który jest kompatybilny z 5.1). Biblioteka ta dostarcza operacje bitowe na 32-bitowych liczbach całkowitych bez znaku."
lbitlib.h,"Plik `lbitlib.h` jest plikiem nagłówkowym dla biblioteki `bit32` z Lua 5.2, która została przeniesiona do użytku w tym projekcie."
luabinder.h,"Plik `luabinder.h` jest sercem mechanizmu bindowania C++ do Lua. Zawiera on zestaw zaawansowanych szablonów metaprogramowania, które umożliwiają automatyczne generowanie funkcji-opakowań (wrapperów) dla niemal dowolnych funkcji C++, w tym funkcji globalnych, statycznych, metod klas, funkcji `std::function` i lambd."
luaexception.h,"Plik `luaexception.h` deklaruje hierarchię klas wyjątków specyficznych dla interakcji z silnikiem Lua. Te klasy wyjątków są używane do sygnalizowania błędów, które występują podczas operacji na stosie Lua, rzutowania typów lub wywoływania funkcji."
luaexception.cpp,Plik `luaexception.cpp` zawiera implementację klas wyjątków zdefiniowanych w `luaexception.h`.
luainterface.cpp,"Plik `luainterface.cpp` zawiera implementację klasy `LuaInterface`, która jest centralnym interfejsem do komunikacji z silnikiem Lua. Jest to jedna z najważniejszych klas w całym frameworku."
luainterface.h,"Plik `luainterface.h` deklaruje klasę `LuaInterface`, która jest głównym interfejsem do interakcji z silnikiem Lua. Jest to klasa singletonowa (`g_lua`), która enkapsuluje stan Lua (`lua_State*`) i dostarcza bogaty zestaw metod do manipulacji stosem, wywoływania funkcji, bindowania kodu C++ i zarządzania obiektami."
